text,label
"URGENT: Your SBI Bank account has been temporarily blocked due to missing PAN KYC. Click http://bit.ly/sbi-kyc-update to update immediately to avoid penalty.",1
"Dear customer, you have won a cash prize of Rs 25,00,000 in KBC Lucky Draw! Send your account details and Rs 500 processing fee to claim via WhatsApp 9876543210.",1
"Dear user, your electricity power will be disconnected tonight at 9:30 PM because previous month bill was not updated. Immediately call electricity officer at 9123456789.",1
"Alert: An unauthorized transaction of INR 45,999 was attempted on your HDFC credit card. If not you, cancel immediately at http://hdfc-security-cancel.com/auth",1
"Your Netflix subscription has expired. Payment failed. Update your billing card details within 24 hours at http://netflix-billing-verify.top or account will be suspended.",1
"Hi Mom, I lost my phone and wallet while traveling. Please transfer 5000 rupees immediately to this UPI ID: emergencyhelp@upi. I will call you once I reach home.",1
"CONGRATULATIONS! You have been selected for a part-time Work From Home job. Earn Rs 3000 to 8000 daily by liking YouTube videos. Contact HR on Telegram @EarnFastDaily",1
"Dear SBI user, your YONO account is deactivated today. Please update your Aadhaar number and PAN card at https://yono-kyc-verify.info to restore access.",1
"Dear customer, your SIM card will be blocked within 2 hours by TRAI due to unverified document. Call customer executive immediately at 8899776655.",1
"You have received a payment request of Rs 2,000 from PayTM merchant. Enter your 6-digit UPI PIN to receive money in your bank account.",1
"Income Tax Department Alert: A tax refund of Rs 18,450 has been approved. Confirm your bank account number and IFSC code at http://incometax-refund-gov.in",1
"Dear user, your Amazon parcel cannot be delivered due to incomplete house address. Update address and pay Rs 15 re-delivery fee at http://amzn-delivery-track.net",1
"Security Alert: Your WhatsApp verification code is 482-910. Do not share this OTP with anyone, even if caller claims to be WhatsApp support team.",1
"Dear customer, claim your pre-approved loan of Rs 5,00,000 with 0% interest rate without any collateral. Click http://fast-loan-approval.com/apply now.",1
"Aapka bank account suspend hone wala hai. Turant pan card aur aadhaar link karein is link par http://bank-update-kyc.org nahi to account band ho jayega.",1
"Congratulations! You won a brand new iPhone 15 Pro in festive lucky contest. Pay 999 rupees customs duty to courier address immediately.",1
"Dear user, your Google Pay rewards voucher worth Rs 1,499 is expiring in 2 hours. Claim direct to bank account: http://gpay-rewards-claim.xyz",1
"ALERT: Final reminder. Your PAN card is not linked with Aadhaar card. Fine of Rs 10,000 applicable. Link now at http://pan-aadhaar-link-urgent.cc",1
"Dear customer, 50,000 reward points worth Rs 12,500 are pending on your SBI credit card. Redeem now into cash by clicking http://sbi-points-cash.com",1
"Urgent: Police cyber cell notice. Your IP address was involved in illegal activity. Pay settlement fine of Rs 15,000 via UPI to avoid arrest warrant.",1
"Dear user, your LPG gas cylinder subsidy of Rs 850 is waiting. Update bank details at http://lpg-subsidy-claim.org immediately.",1
"Earn guaranteed returns of 30% monthly on crypto trading. Invest minimum 5000 INR today. Join our VIP Telegram channel: t.me/CryptoGainsVIP",1
"Dear customer, your ICICI NetBanking password has expired. Reset your password immediately by clicking http://icici-password-reset.in to prevent lock.",1
"Courier Delivery: We tried to deliver your shipment but nobody was available. Click http://indexp-courier-redeliver.top to reschedule and pay Rs 25 fee.",1
"Aapko mila hai 10,000 ka festive bonus. Apne PhonePe account par claim karne ke liye apna UPI PIN enter karein aur turant paise payein.",1
"Customs Officer Warning: A parcel containing illegal substances in your name has been seized at Mumbai airport. Call customs officer at 7788990011 immediately.",1
"Dear User, your mobile recharge of Rs 299 was successful via unverified gateway. Call helpline 9001122334 to confirm or charges will be deducted twice.",1
