text,label,clean_text
"Dear Customer, Thank you for visiting Reliance Digital. Your invoice #INV-98219 has been sent to your registered email address.",0,dear customer thank you for visiting reliance digital your invoice inv digit_code_token has been sent to your registered email address
"Hey, can you please send me the presentation slides for tomorrow's team sync? Thanks!",0,hey can you please send me the presentation slides for tomorrow s team sync thanks
"Dear Customer, your SBI mutual fund SIP of Rs 5,000 has been successfully processed for the month of August 2026.",0,dear customer your sbi mutual fund sip of currency_amount_token has been successfully processed for the month of august digit_code_token
"Hi, thanks for connecting on LinkedIn. I would love to learn more about your team's work on machine learning systems.",0,hi thanks for connecting on linkedin i would love to learn more about your team s work on machine learning systems
"Dear Subscriber, your monthly Spotify Premium family plan has been renewed. Next billing date is 25-SEP-2026.",0,dear subscriber your monthly spotify premium family plan has been renewed next billing date is 25 sep digit_code_token
"Dear user, your electricity power will be disconnected tonight at 9:30 PM because previous month bill was not updated. Immediately call electricity officer at 9123456789.",1,dear user your electricity power will be disconnected tonight at 9 30 pm because previous month bill was not updated immediately call electricity officer at phone_num_token
"Dear traveler, your flight ticket has been cancelled due to technical error. Click http://airline-refund-ticket.com/refund to claim instant 100% refund.",1,dear traveler your flight ticket has been cancelled due to technical error click http_url_token to claim instant 100 refund
"Hi mom, don't cook dinner tonight. I'm bringing pizzas on the way back from office.",0,hi mom don t cook dinner tonight i m bringing pizzas on the way back from office
"You have received a payment request of Rs 2,000 from PayTM merchant. Enter your 6-digit UPI PIN to receive money in your bank account.",1,you have received a payment request of currency_amount_token from paytm merchant enter your 6 digit upi pin to receive money in your bank account
"Security Alert: Your WhatsApp verification code is 482-910. Do not share this OTP with anyone, even if caller claims to be WhatsApp support team.",1,security alert your whatsapp verification code is 482 910 do not share this otp with anyone even if caller claims to be whatsapp support team
Congratulations! You won a brand new iPhone 15 Pro in festive lucky contest. Pay 999 rupees customs duty to courier address immediately.,1,congratulations you won a brand new iphone 15 pro in festive lucky contest pay currency_amount_token customs duty to courier address immediately
"Hey, are you free this Sunday for a badminton match at the community club?",0,hey are you free this sunday for a badminton match at the community club
