text,label,clean_text
URGENT: Your SBI Bank account has been temporarily blocked due to missing PAN KYC. Click http://bit.ly/sbi-kyc-update to update immediately to avoid penalty.,1,urgent your sbi bank account has been temporarily blocked due to missing pan kyc click http_url_token to update immediately to avoid penalty
"Dear customer, you have won a cash prize of Rs 25,00,000 in KBC Lucky Draw! Send your account details and Rs 500 processing fee to claim via WhatsApp 9876543210.",1,dear customer you have won a cash prize of currency_amount_token in kbc lucky draw send your account details and currency_amount_token processing fee to claim via whatsapp phone_num_token
"Dear user, your electricity power will be disconnected tonight at 9:30 PM because previous month bill was not updated. Immediately call electricity officer at 9123456789.",1,dear user your electricity power will be disconnected tonight at 9 30 pm because previous month bill was not updated immediately call electricity officer at phone_num_token
"Alert: An unauthorized transaction of INR 45,999 was attempted on your HDFC credit card. If not you, cancel immediately at http://hdfc-security-cancel.com/auth",1,alert an unauthorized transaction of currency_amount_token was attempted on your hdfc credit card if not you cancel immediately at http_url_token
Your Netflix subscription has expired. Payment failed. Update your billing card details within 24 hours at http://netflix-billing-verify.top or account will be suspended.,1,your netflix subscription has expired payment failed update your billing card details within 24 hours at http_url_token or account will be suspended
"Hi Mom, I lost my phone and wallet while traveling. Please transfer 5000 rupees immediately to this UPI ID: emergencyhelp@upi. I will call you once I reach home.",1,hi mom i lost my phone and wallet while traveling please transfer currency_amount_token immediately to this upi id upi_handle_token i will call you once i reach home
CONGRATULATIONS! You have been selected for a part-time Work From Home job. Earn Rs 3000 to 8000 daily by liking YouTube videos. Contact HR on Telegram @EarnFastDaily,1,congratulations you have been selected for a part time work from home job earn currency_amount_token to digit_code_token daily by liking youtube videos contact hr on telegram earnfastdaily
"Dear SBI user, your YONO account is deactivated today. Please update your Aadhaar number and PAN card at https://yono-kyc-verify.info to restore access.",1,dear sbi user your yono account is deactivated today please update your aadhaar number and pan card at http_url_token to restore access
"Dear customer, your SIM card will be blocked within 2 hours by TRAI due to unverified document. Call customer executive immediately at 8899776655.",1,dear customer your sim card will be blocked within 2 hours by trai due to unverified document call customer executive immediately at phone_num_token
"You have received a payment request of Rs 2,000 from PayTM merchant. Enter your 6-digit UPI PIN to receive money in your bank account.",1,you have received a payment request of currency_amount_token from paytm merchant enter your 6 digit upi pin to receive money in your bank account
"Income Tax Department Alert: A tax refund of Rs 18,450 has been approved. Confirm your bank account number and IFSC code at http://incometax-refund-gov.in",1,income tax department alert a tax refund of currency_amount_token has been approved confirm your bank account number and ifsc code at http_url_token
"Dear user, your Amazon parcel cannot be delivered due to incomplete house address. Update address and pay Rs 15 re-delivery fee at http://amzn-delivery-track.net",1,dear user your amazon parcel cannot be delivered due to incomplete house address update address and pay currency_amount_token re delivery fee at http_url_token
"Security Alert: Your WhatsApp verification code is 482-910. Do not share this OTP with anyone, even if caller claims to be WhatsApp support team.",1,security alert your whatsapp verification code is 482 910 do not share this otp with anyone even if caller claims to be whatsapp support team
"Dear customer, claim your pre-approved loan of Rs 5,00,000 with 0% interest rate without any collateral. Click http://fast-loan-approval.com/apply now.",1,dear customer claim your pre approved loan of currency_amount_token with 0 interest rate without any collateral click http_url_token now
Aapka bank account suspend hone wala hai. Turant pan card aur aadhaar link karein is link par http://bank-update-kyc.org nahi to account band ho jayega.,1,aapka bank account suspend hone wala hai turant pan card aur aadhaar link karein is link par http_url_token nahi to account band ho jayega
Congratulations! You won a brand new iPhone 15 Pro in festive lucky contest. Pay 999 rupees customs duty to courier address immediately.,1,congratulations you won a brand new iphone 15 pro in festive lucky contest pay currency_amount_token customs duty to courier address immediately
"Dear user, your Google Pay rewards voucher worth Rs 1,499 is expiring in 2 hours. Claim direct to bank account: http://gpay-rewards-claim.xyz",1,dear user your google pay rewards voucher worth currency_amount_token is expiring in 2 hours claim direct to bank account http_url_token
"ALERT: Final reminder. Your PAN card is not linked with Aadhaar card. Fine of Rs 10,000 applicable. Link now at http://pan-aadhaar-link-urgent.cc",1,alert final reminder your pan card is not linked with aadhaar card fine of currency_amount_token applicable link now at http_url_token
"Dear customer, 50,000 reward points worth Rs 12,500 are pending on your SBI credit card. Redeem now into cash by clicking http://sbi-points-cash.com",1,dear customer 50 000 reward points worth currency_amount_token are pending on your sbi credit card redeem now into cash by clicking http_url_token
"Urgent: Police cyber cell notice. Your IP address was involved in illegal activity. Pay settlement fine of Rs 15,000 via UPI to avoid arrest warrant.",1,urgent police cyber cell notice your ip address was involved in illegal activity pay settlement fine of currency_amount_token via upi to avoid arrest warrant
"Dear user, your LPG gas cylinder subsidy of Rs 850 is waiting. Update bank details at http://lpg-subsidy-claim.org immediately.",1,dear user your lpg gas cylinder subsidy of currency_amount_token is waiting update bank details at http_url_token immediately
Earn guaranteed returns of 30% monthly on crypto trading. Invest minimum 5000 INR today. Join our VIP Telegram channel: t.me/CryptoGainsVIP,1,earn guaranteed returns of 30 monthly on crypto trading invest minimum currency_amount_token today join our vip telegram channel http_url_token
"Dear customer, your ICICI NetBanking password has expired. Reset your password immediately by clicking http://icici-password-reset.in to prevent lock.",1,dear customer your icici netbanking password has expired reset your password immediately by clicking http_url_token to prevent lock
Courier Delivery: We tried to deliver your shipment but nobody was available. Click http://indexp-courier-redeliver.top to reschedule and pay Rs 25 fee.,1,courier delivery we tried to deliver your shipment but nobody was available click http_url_token to reschedule and pay currency_amount_token fee
"Aapko mila hai 10,000 ka festive bonus. Apne PhonePe account par claim karne ke liye apna UPI PIN enter karein aur turant paise payein.",1,aapko mila hai 10 000 ka festive bonus apne phonepe account par claim karne ke liye apna upi pin enter karein aur turant paise payein
Customs Officer Warning: A parcel containing illegal substances in your name has been seized at Mumbai airport. Call customs officer at 7788990011 immediately.,1,customs officer warning a parcel containing illegal substances in your name has been seized at mumbai airport call customs officer at phone_num_token immediately
"Dear User, your mobile recharge of Rs 299 was successful via unverified gateway. Call helpline 9001122334 to confirm or charges will be deducted twice.",1,dear user your mobile recharge of currency_amount_token was successful via unverified gateway call helpline phone_num_token to confirm or charges will be deducted twice
"Get rich quick! Invest Rs 1,000 and get Rs 10,000 in 24 hours through algorithmic stock trading bot. Send money to trade-bot@upi.",1,get rich quick invest currency_amount_token and get currency_amount_token in 24 hours through algorithmic stock trading bot send money to upi_handle_token
